journal	created	deposited	published.online	doi	indexed	issn	issue	issued	member	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	title	type	url	volume	short.container.title	published.print	language	page	update.policy	archive	subtitle	archive_	na.	author.names	published_on	citations	is_oa	CiteScore	SJR	WebQualis
Journal of Food Safety	2015-03-11	2021-07-06	2015-03-11	10.1111/jfs.12178	2022-12-21	0149-6085	3	2015-03-11	311	10.1111	Wiley	1	Crossref	26	26	9	Microbiology,Food Science,Parasitology	Efficacy of Ultraviolet-C Light to Eliminate <i>S</i>
                        <i>taphylococcus Aureus</i>
 on Precooked Shredded Bullfrog Back Meat	journal-article	http://dx.doi.org/10.1111/jfs.12178	35	J Food Saf	2015-08	en	318-323	NA	Portico	<i>Staphylococcus Aureus</i>
 Reduction in Bullfrog Meat	NA	NA	H.L.A. Silva, M.P. Costa, B.S. Frasao, E.F.M. Mesquita, S.C.R.P. Mello, C.A. Conte-Junior, R.M. Franco, Z.B. Miranda	2015	9	FALSE	4.7	0.435	A4
Autonomic Neuroscience	2014-09-09	2022-04-16	NA	10.1016/j.autneu.2014.09.001	2022-04-16	1566-0702	NA	2014-12	78	10.1016	Elsevier BV	1	Crossref	51	51	0	Cellular and Molecular Neuroscience,Neurology (clinical),Endocrine and Autonomic Systems	eNOS gene haplotype is indirectly associated with the recovery of cardiovascular autonomic modulation from exercise	journal-article	http://dx.doi.org/10.1016/j.autneu.2014.09.001	186	Autonomic Neuroscience	2014-12	en	77-84	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA	Bruno M. Silva, Thales C. Barbosa, Fabricia J. Neves, Allan K. Sales, Natalia G. Rocha, Renata F. Medeiros, Felipe S. Pereira, Vinicius P. Garcia, Fabiane T. Cardoso, Antonio C.L. Nobrega	2014	0	FALSE	4.3	0.69	A3
Revista Brasileira de Ciências do Esporte	2018-02-03	2020-01-02	NA	10.1016/j.rbce.2018.01.006	2022-03-31	0101-3289	2	2018-04	530	10.1590	FapUNIFESP (SciELO)	1	Crossref	17	17	0	Physical Therapy, Sports Therapy and Rehabilitation,Health (social science)	Estádio do Maracanã: percepções a partir da reestruturação arquitetônica de 2010	journal-article	http://dx.doi.org/10.1016/j.rbce.2018.01.006	40	Revista Brasileira de Ciências do Esporte	2018-04	pt	205-212	http://dx.doi.org/10.1016/elsevier_cm_policy	NA	NA	NA	NA	Ana Beatriz Correia de Oliveira Tavares, Sebastião Josué Votre, Silvio de Cassio Costa Telles, Fabiano Pries Devide	2018	0	TRUE	0.7	0.216	B1
Movimento (ESEFID/UFRGS)	2018-07-10	2018-07-10	2018-06-24	10.22456/1982-8918.75681	2022-04-05	1982-8918,0104-754X	2	2018-06-24	9749	10.22456	Universidade Federal do Rio Grande do Sul	1	Crossref	0	0	0	Education	ESTÁDIO DO MARACANÃ: UM ESTUDO COMPARATIVO ENTRE AS REPRESENTAÇÕES SOCIAIS DOS TORCEDORES SOBRE O ANTIGO E O NOVO LUGAR DO FUTEBOL	journal-article	http://dx.doi.org/10.22456/1982-8918.75681	24	Movimento	NA	NA	353	NA	NA	NA	NA	NA	Ana Beatriz Correia de Oliveira Tavares, Silvio De Cassio Costa Telles, Sebastião Josué Votre	2018	0	TRUE	0.8	0.233	B1
Revista de Ensino, Educação e Ciências Humanas	2019-07-04	2019-07-04	2019-06-27	10.17921/2447-8733.2019v20n2p201-209	2022-03-30	2447-8733	2	2019-06-27	7245	10.17921	Editora e Distribuidora Educacional	1	Crossref	0	0	0	General Earth and Planetary Sciences,General Engineering,General Environmental Science	Estudo sobre Igualdade de Gênero em uma Escola de Ensino Médio de Comunidade do Rio de Janeiro, RJ	journal-article	http://dx.doi.org/10.17921/2447-8733.2019v20n2p201-209	20	Rev. Ens. Educ. Cienc. Hum.	NA	NA	201	NA	NA	NA	NA	NA	Renata Corrêa Sinimbú Almeida, Maria Geralda De Miranda, Roy Reis Friede, Patricia Maria Dusek, Kátia Eliane Santos Avelar	2019	0	TRUE	NA	NA	A3
Semioses	2017-04-22	2017-04-22	2017-04-21	10.15202/1981996x.2017v11n1p86	2022-04-06	1981-996X	1	2017-04-21	7456	10.15202	Sociedade Unificada de Ensino Augusto Motta -UNISUAM	1	Crossref	0	0	1	General Medicine	Estudos Etnofarmacológicos de óelos essenciais com atividade larvicida contra o Mosquito Aedes Aegypt	journal-article	http://dx.doi.org/10.15202/1981996x.2017v11n1p86	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	Diego G. da R. Voris, Carlos H. V. Afonso, Carlos A. C. Almeida Filho, Conceição O. J. Fernandes, Danielle Q. M. Brito, Caroline S. Moraes, Keila S. C. Lima, José B. P. Lima, Maria G. Mirand, Antônio Luis dos Santos Lima, Katia E. S. Avelar, Reis Friede, Antonio L. S. Lima	2017	2	TRUE	NA	NA	B3
Revista Virtual de Química	2014-04-23	2016-11-28	NA	10.5935/1984-6835.20140038	2022-04-02	1984-6835	3	2014	9021	10.21577	Sociedade Brasileira de Quimica (SBQ)	1	Crossref	0	0	0	General Chemistry	Exposure Limits and its Applications in Chemical Warfare	journal-article	http://dx.doi.org/10.5935/1984-6835.20140038	6	NA	2014	en	NA	NA	NA	NA	NA	NA	Erick B. F. Galante, Antônio Luís S. Lima, Tanos C. C. França, Assed N. Haddad	2014	0	TRUE	0.7	0.151	B2
